# break_thresholds=0.100000,0.200000,0.300000,0.400000,0.500000
side_scale,threshold,break_time_or_T,max_rel_change,break_pair
0.80000000,0.100000,0.03800000,346.09566256,1-3
0.80000000,0.200000,0.06000000,346.09566256,1-3
0.80000000,0.300000,0.08200000,346.09566256,1-3
0.80000000,0.400000,0.10400000,346.09566256,1-3
0.80000000,0.500000,0.12600000,346.09566256,1-3
0.80272109,0.100000,0.04000000,334.11868403,1-3
0.80272109,0.200000,0.06200000,334.11868403,1-3
0.80272109,0.300000,0.08400000,334.11868403,1-3
0.80272109,0.400000,0.10800000,334.11868403,1-3
0.80272109,0.500000,0.13000000,334.11868403,1-3
0.80544218,0.100000,0.04000000,322.43138430,1-3
0.80544218,0.200000,0.06400000,322.43138430,1-3
0.80544218,0.300000,0.08600000,322.43138430,1-3
0.80544218,0.400000,0.11000000,322.43138430,1-3
0.80544218,0.500000,0.13400000,322.43138430,1-3
0.80816327,0.100000,0.04200000,311.02292073,1-3
0.80816327,0.200000,0.06600000,311.02292073,1-3
0.80816327,0.300000,0.09000000,311.02292073,1-3
0.80816327,0.400000,0.11400000,311.02292073,1-3
0.80816327,0.500000,0.13800000,311.02292073,1-3
0.81088435,0.100000,0.04200000,299.88263767,1-3
0.81088435,0.200000,0.06800000,299.88263767,1-3
0.81088435,0.300000,0.09200000,299.88263767,1-3
0.81088435,0.400000,0.11600000,299.88263767,1-3
0.81088435,0.500000,0.14200000,299.88263767,0-3
0.81360544,0.100000,0.04400000,289.00003875,1-3
0.81360544,0.200000,0.07000000,289.00003875,1-3
0.81360544,0.300000,0.09400000,289.00003875,1-3
0.81360544,0.400000,0.12000000,289.00003875,0-3
0.81360544,0.500000,0.14600000,289.00003875,0-3
0.81632653,0.100000,0.04400000,278.36475692,1-3
0.81632653,0.200000,0.07200000,278.36475692,1-3
0.81632653,0.300000,0.09800000,278.36475692,1-3
0.81632653,0.400000,0.12400000,278.36475692,1-3
0.81632653,0.500000,0.15200000,278.36475692,1-3
0.81904762,0.100000,0.04600000,267.96652176,1-3
0.81904762,0.200000,0.07400000,267.96652176,1-3
0.81904762,0.300000,0.10000000,267.96652176,1-3
0.81904762,0.400000,0.12800000,267.96652176,1-3
0.81904762,0.500000,0.15600000,267.96652176,1-3
0.82176871,0.100000,0.04800000,257.79512317,1-3
0.82176871,0.200000,0.07600000,257.79512317,1-3
0.82176871,0.300000,0.10400000,257.79512317,1-3
0.82176871,0.400000,0.13200000,257.79512317,1-3
0.82176871,0.500000,0.16000000,257.79512317,1-3
0.82448980,0.100000,0.04800000,247.84037082,1-3
0.82448980,0.200000,0.07800000,247.84037082,1-3
0.82448980,0.300000,0.10600000,247.84037082,0-3
0.82448980,0.400000,0.13600000,247.84037082,0-3
0.82448980,0.500000,0.16600000,247.84037082,1-3
0.82721088,0.100000,0.05000000,238.09204790,0-3
0.82721088,0.200000,0.08000000,238.09204790,0-3
0.82721088,0.300000,0.11000000,238.09204790,0-3
0.82721088,0.400000,0.14000000,238.09204790,0-3
0.82721088,0.500000,0.17200000,238.09204790,0-3
0.82993197,0.100000,0.05200000,228.53985802,1-3
0.82993197,0.200000,0.08200000,228.53985802,2-3
0.82993197,0.300000,0.11400000,228.53985802,2-3
0.82993197,0.400000,0.14400000,228.53985802,2-3
0.82993197,0.500000,0.17800000,228.53985802,2-3
0.83265306,0.100000,0.05200000,219.17336324,1-3
0.83265306,0.200000,0.08400000,219.17336324,1-3
0.83265306,0.300000,0.11600000,219.17336324,1-3
0.83265306,0.400000,0.15000000,219.17336324,1-3
0.83265306,0.500000,0.18200000,219.17336324,1-3
0.83537415,0.100000,0.05400000,209.98191077,1-3
0.83537415,0.200000,0.08800000,209.98191077,0-3
0.83537415,0.300000,0.12000000,209.98191077,0-3
0.83537415,0.400000,0.15400000,209.98191077,0-3
0.83537415,0.500000,0.18800000,209.98191077,0-3
0.83809524,0.100000,0.05600000,200.95454531,1-3
0.83809524,0.200000,0.09000000,200.95454531,1-3
0.83809524,0.300000,0.12400000,200.95454531,1-3
0.83809524,0.400000,0.15800000,200.95454531,1-3
0.83809524,0.500000,0.19600000,200.95454531,1-3
0.84081633,0.100000,0.05600000,192.07990243,1-3
0.84081633,0.200000,0.09200000,192.07990243,1-3
0.84081633,0.300000,0.12800000,192.07990243,1-3
0.84081633,0.400000,0.16400000,192.07990243,1-3
0.84081633,0.500000,0.20200000,192.07990243,1-3
0.84353741,0.100000,0.05800000,183.34607743,1-3
0.84353741,0.200000,0.09600000,183.34607743,1-3
0.84353741,0.300000,0.13200000,183.34607743,1-3
0.84353741,0.400000,0.17000000,183.34607743,1-3
0.84353741,0.500000,0.20800000,183.34607743,1-3
0.84625850,0.100000,0.06000000,174.74046127,1-3
0.84625850,0.200000,0.09800000,174.74046127,1-3
0.84625850,0.300000,0.13600000,174.74046127,1-3
0.84625850,0.400000,0.17600000,174.74046127,0-3
0.84625850,0.500000,0.21600000,174.74046127,0-3
0.84897959,0.100000,0.06200000,166.24953257,1-3
0.84897959,0.200000,0.10000000,166.24953257,1-3
0.84897959,0.300000,0.14000000,166.24953257,1-3
0.84897959,0.400000,0.18200000,166.24953257,1-3
0.84897959,0.500000,0.22400000,166.24953257,1-3
0.85170068,0.100000,0.06400000,157.85858914,1-3
0.85170068,0.200000,0.10400000,157.85858914,1-3
0.85170068,0.300000,0.14400000,157.85858914,1-3
0.85170068,0.400000,0.18800000,157.85858914,2-3
0.85170068,0.500000,0.23200000,157.85858914,2-3
0.85442177,0.100000,0.06600000,149.55139556,1-3
0.85442177,0.200000,0.10800000,149.55139556,1-3
0.85442177,0.300000,0.15000000,149.55139556,1-3
0.85442177,0.400000,0.19400000,149.55139556,1-3
0.85442177,0.500000,0.24000000,149.55139556,1-3
0.85714286,0.100000,0.06800000,141.30971138,1-3
0.85714286,0.200000,0.11000000,141.30971138,1-3
0.85714286,0.300000,0.15400000,141.30971138,1-3
0.85714286,0.400000,0.20000000,141.30971138,1-3
0.85714286,0.500000,0.25000000,141.30971138,1-3
0.85986395,0.100000,0.07000000,133.11264569,1-3
0.85986395,0.200000,0.11400000,133.11264569,1-3
0.85986395,0.300000,0.16000000,133.11264569,1-3
0.85986395,0.400000,0.20800000,133.11264569,1-3
0.85986395,0.500000,0.25800000,133.11264569,0-3
0.86258503,0.100000,0.07200000,124.93575233,1-3
0.86258503,0.200000,0.11800000,124.93575233,1-3
0.86258503,0.300000,0.16400000,124.93575233,1-3
0.86258503,0.400000,0.21600000,124.93575233,1-3
0.86258503,0.500000,0.26800000,124.93575233,1-3
0.86530612,0.100000,0.07400000,116.74972524,1-3
0.86530612,0.200000,0.12000000,116.74972524,1-3
0.86530612,0.300000,0.17000000,116.74972524,1-3
0.86530612,0.400000,0.22400000,116.74972524,1-3
0.86530612,0.500000,0.28000000,116.74972524,1-3
0.86802721,0.100000,0.07600000,108.51845441,1-3
0.86802721,0.200000,0.12400000,108.51845441,1-3
0.86802721,0.300000,0.17600000,108.51845441,1-3
0.86802721,0.400000,0.23200000,108.51845441,1-3
0.86802721,0.500000,0.29000000,108.51845441,1-3
0.87074830,0.100000,0.07800000,100.19601304,1-3
0.87074830,0.200000,0.12800000,100.19601304,0-3
0.87074830,0.300000,0.18200000,100.19601304,1-3
0.87074830,0.400000,0.24000000,100.19601304,1-3
0.87074830,0.500000,0.30400000,100.19601304,1-3
0.87346939,0.100000,0.08000000,91.72176004,0-3
0.87346939,0.200000,0.13200000,91.72176004,2-3
0.87346939,0.300000,0.18800000,91.72176004,1-3
0.87346939,0.400000,0.25000000,91.72176004,2-3
0.87346939,0.500000,0.31600000,91.72176004,2-3
0.87619048,0.100000,0.08200000,83.01188817,1-3
0.87619048,0.200000,0.13800000,83.01188817,1-3
0.87619048,0.300000,0.19600000,83.01188817,1-3
0.87619048,0.400000,0.26000000,83.01188817,1-3
0.87619048,0.500000,0.33000000,83.01188817,1-3
0.87891156,0.100000,0.08400000,73.94366616,1-3
0.87891156,0.200000,0.14200000,73.94366616,1-3
0.87891156,0.300000,0.20400000,73.94366616,1-3
0.87891156,0.400000,0.27200000,73.94366616,1-3
0.87891156,0.500000,0.34600000,73.94366616,1-3
0.88163265,0.100000,0.08600000,64.32490708,1-3
0.88163265,0.200000,0.14600000,64.32490708,0-3
0.88163265,0.300000,0.21000000,64.32490708,0-3
0.88163265,0.400000,0.28200000,64.32490708,0-3
0.88163265,0.500000,0.36400000,64.32490708,0-3
0.88435374,0.100000,0.09000000,53.81565942,1-3
0.88435374,0.200000,0.15200000,53.81565942,1-3
0.88435374,0.300000,0.22000000,53.81565942,2-3
0.88435374,0.400000,0.29600000,53.81565942,1-3
0.88435374,0.500000,0.38200000,53.81565942,2-3
0.88707483,0.100000,0.09200000,41.65532153,1-3
0.88707483,0.200000,0.15600000,41.65532153,1-3
0.88707483,0.300000,0.22800000,41.65532153,2-3
0.88707483,0.400000,0.31000000,41.65532153,2-3
0.88707483,0.500000,0.40400000,41.65532153,2-3
0.88979592,0.100000,0.09400000,25.50719715,0-3
0.88979592,0.200000,0.16200000,25.50719715,1-3
0.88979592,0.300000,0.23800000,25.50719715,1-3
0.88979592,0.400000,0.32400000,25.50719715,1-3
0.88979592,0.500000,0.42800000,25.50719715,1-3
0.89251701,0.100000,0.09800000,83.80828224,1-3
0.89251701,0.200000,0.16800000,83.80828224,1-3
0.89251701,0.300000,0.24800000,83.80828224,1-3
0.89251701,0.400000,0.34200000,83.80828224,1-3
0.89251701,0.500000,0.45600000,83.80828224,1-3
0.89523810,0.100000,0.10000000,40.80246395,1-3
0.89523810,0.200000,0.17400000,40.80246395,0-3
0.89523810,0.300000,0.25800000,40.80246395,0-3
0.89523810,0.400000,0.36200000,40.80246395,0-3
0.89523810,0.500000,0.49200000,40.80246395,0-3
0.89795918,0.100000,0.10400000,30.07574413,1-3
0.89795918,0.200000,0.18000000,30.07574413,1-3
0.89795918,0.300000,0.27000000,30.07574413,1-3
0.89795918,0.400000,0.38400000,30.07574413,1-3
0.89795918,0.500000,0.53600000,30.07574413,1-3
0.90068027,0.100000,0.10800000,123.50284516,1-3
0.90068027,0.200000,0.18800000,123.50284516,1-3
0.90068027,0.300000,0.28400000,123.50284516,1-3
0.90068027,0.400000,0.41000000,123.50284516,1-3
0.90068027,0.500000,0.59800000,123.50284516,1-3
0.90340136,0.100000,0.11200000,47.52160667,1-3
0.90340136,0.200000,0.19600000,47.52160667,1-3
0.90340136,0.300000,0.29800000,47.52160667,1-3
0.90340136,0.400000,0.44200000,47.52160667,1-3
0.90340136,0.500000,0.72000000,47.52160667,1-3
0.90612245,0.100000,0.11400000,27.36097673,1-3
0.90612245,0.200000,0.20400000,27.36097673,1-3
0.90612245,0.300000,0.31600000,27.36097673,0-3
0.90612245,0.400000,0.48600000,27.36097673,0-3
0.90612245,0.500000,12.25400000,27.36097673,0-3
0.90884354,0.100000,0.11800000,35.07277113,1-3
0.90884354,0.200000,0.21200000,35.07277113,1-3
0.90884354,0.300000,0.33400000,35.07277113,1-3
0.90884354,0.400000,0.55800000,35.07277113,1-3
0.90884354,0.500000,13.81600000,35.07277113,1-3
0.91156463,0.100000,0.12200000,34.65862635,0-3
0.91156463,0.200000,0.22200000,34.65862635,1-3
0.91156463,0.300000,0.35800000,34.65862635,1-3
0.91156463,0.400000,14.01200000,34.65862635,1-3
0.91156463,0.500000,15.32600000,34.65862635,1-3
0.91428571,0.100000,0.12600000,54.69547004,0-3
0.91428571,0.200000,0.23200000,54.69547004,1-3
0.91428571,0.300000,0.38600000,54.69547004,1-3
0.91428571,0.400000,16.81000000,54.69547004,1-3
0.91428571,0.500000,16.87600000,54.69547004,1-3
0.91700680,0.100000,0.13200000,42.29634333,0-3
0.91700680,0.200000,0.24200000,42.29634333,0-3
0.91700680,0.300000,0.42600000,42.29634333,1-3
0.91700680,0.400000,19.58800000,42.29634333,1-3
0.91700680,0.500000,19.66400000,42.29634333,1-3
0.91972789,0.100000,0.13600000,1.72972265,1-3
0.91972789,0.200000,0.25600000,1.72972265,1-3
0.91972789,0.300000,0.50200000,1.72972265,1-3
0.91972789,0.400000,22.30000000,1.72972265,2-3
0.91972789,0.500000,22.44400000,1.72972265,2-3
0.92244898,0.100000,0.14200000,6.91888393,1-3
0.92244898,0.200000,0.27000000,6.91888393,1-3
0.92244898,0.300000,23.59800000,6.91888393,1-2
0.92244898,0.400000,24.71600000,6.91888393,1-2
